user_id,age,device_type,sessions_last_30_days,avg_session_duration_minutes,content_views_last_30_days,likes_last_30_days,shares_last_30_days,days_since_last_login,notifications_clicked_last_30_days,churn,cluster,cluster_name
U00001,22,Android,24,11.0,67,11,2,20,11,0,2,Steady Engagers
U00002,55,iOS,29,13.4,111,27,2,9,10,0,2,Steady Engagers
U00003,49,iOS,23,10.2,62,12,0,25,7,0,1,Casual Browsers
U00004,39,Android,13,6.5,45,6,0,25,4,0,1,Casual Browsers
U00005,38,Android,14,11.2,36,2,0,29,8,0,1,Casual Browsers
U00006,59,Android,39,14.3,134,27,3,4,15,0,0,Power Users
U00007,22,iOS,11,8.1,21,4,0,35,4,1,3,At-Risk/Dormant
U00008,51,iOS,19,4.5,70,21,3,22,12,0,2,Steady Engagers
U00009,27,iOS,6,0.5,8,1,0,44,4,0,3,At-Risk/Dormant
U00010,22,Android,4,0.5,11,1,0,39,0,0,3,At-Risk/Dormant
U00011,43,Android,8,7.3,13,2,0,43,1,0,3,At-Risk/Dormant
U00012,64,iOS,16,8.5,40,6,1,22,8,0,1,Casual Browsers
U00013,53,Android,10,2.5,24,2,0,34,5,1,3,At-Risk/Dormant
U00014,54,iOS,11,5.0,20,3,1,32,5,0,3,At-Risk/Dormant
U00015,52,Android,17,11.5,35,2,0,29,9,0,1,Casual Browsers
U00016,55,Android,22,8.5,59,7,1,18,8,0,1,Casual Browsers
U00017,42,iOS,27,13.7,97,36,6,6,10,0,0,Power Users
U00018,24,iOS,27,14.0,67,15,3,12,7,0,2,Steady Engagers
U00019,58,iOS,16,6.6,41,4,0,39,8,0,1,Casual Browsers
U00020,39,Android,2,3.5,2,0,0,40,2,1,3,At-Risk/Dormant
U00021,42,Web,1,0.7,5,1,0,47,0,1,3,At-Risk/Dormant
U00022,35,Web,24,10.7,60,11,3,21,13,0,2,Steady Engagers
U00023,26,Web,9,0.5,15,3,1,58,0,1,3,At-Risk/Dormant
U00024,62,iOS,33,13.7,106,27,5,9,18,0,0,Power Users
U00025,55,iOS,28,13.3,103,27,3,3,18,0,0,Power Users
U00026,48,iOS,32,20.8,125,39,2,0,20,0,0,Power Users
U00027,37,Android,18,11.6,42,11,1,30,5,0,1,Casual Browsers
U00028,57,Android,32,16.3,104,18,4,10,17,0,0,Power Users
U00029,44,iOS,13,14.1,32,6,1,30,9,0,1,Casual Browsers
U00030,39,Android,6,11.3,6,0,0,36,3,0,3,At-Risk/Dormant
U00031,39,Android,36,15.2,127,26,1,10,15,0,2,Steady Engagers
U00032,28,Web,16,12.9,52,17,2,28,5,0,1,Casual Browsers
U00033,22,Android,19,8.0,51,9,0,32,6,0,1,Casual Browsers
U00034,44,iOS,25,13.2,56,18,2,13,16,0,2,Steady Engagers
U00035,60,iOS,15,1.3,36,14,3,33,6,0,3,At-Risk/Dormant
U00036,21,Android,17,13.4,42,12,1,24,8,0,1,Casual Browsers
U00037,59,Web,11,4.4,30,1,1,30,3,1,3,At-Risk/Dormant
U00038,57,Android,31,15.6,106,25,3,9,14,0,0,Power Users
U00039,31,Web,20,12.2,51,9,0,33,10,1,1,Casual Browsers
U00040,48,iOS,23,11.7,64,17,3,25,11,0,2,Steady Engagers
U00041,25,Android,25,11.4,80,21,2,9,13,0,2,Steady Engagers
U00042,54,Android,5,2.3,8,0,0,42,0,0,3,At-Risk/Dormant
U00043,51,Android,9,11.7,24,2,0,29,6,0,1,Casual Browsers
U00044,35,Android,27,6.2,77,16,1,18,11,0,2,Steady Engagers
U00045,21,Android,29,21.4,101,22,5,8,3,0,0,Power Users
U00046,64,Web,27,17.8,91,31,5,10,14,0,0,Power Users
U00047,39,Android,5,2.6,16,0,0,54,1,1,3,At-Risk/Dormant
U00048,60,Web,14,8.9,29,5,0,30,6,0,1,Casual Browsers
U00049,50,Android,16,4.8,33,4,0,36,2,0,3,At-Risk/Dormant
U00050,55,Web,3,1.4,7,1,0,47,1,1,3,At-Risk/Dormant
U00051,54,Android,22,9.8,60,12,0,17,7,0,1,Casual Browsers
U00052,27,Android,8,3.1,20,2,0,35,7,1,3,At-Risk/Dormant
U00053,35,iOS,22,12.7,66,18,6,17,13,0,2,Steady Engagers
U00054,40,Android,9,5.0,12,2,0,37,7,0,3,At-Risk/Dormant
U00055,41,Web,21,9.6,53,10,0,27,11,0,1,Casual Browsers
U00056,20,Android,35,11.2,100,29,3,25,17,0,2,Steady Engagers
U00057,44,iOS,8,14.0,14,4,1,25,9,0,1,Casual Browsers
U00058,25,iOS,20,8.7,41,3,0,29,4,0,1,Casual Browsers
U00059,53,iOS,26,13.1,88,17,2,7,11,0,2,Steady Engagers
U00060,50,Android,14,7.1,31,5,0,45,4,1,3,At-Risk/Dormant
U00061,62,Android,8,6.1,27,3,0,38,4,1,3,At-Risk/Dormant
